院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	「純生」アスピリン	Aspirin	小堺製薬	日興製薬販売	末：内服	10g	2.94円／g	局	サリチル酸系解熱鎮痛・抗血小板剤	114	アスピリン	aspirin（JP）	1143001X1074	100727533					
	0.5％塩酸メピバカイン注「NM」	Mepivacaine HCl「NM」	ナガセ医薬品	ファイザー	注射液：注射	0.5％10mLバイアル	9.60円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A1030	101667306，101667307					パラオキシ安息香酸メチル，塩化ナトリウム，リン酸水素ナトリウム水和物，pH調節剤
	0.5％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	0.5％5mL1管	78.00円／管	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A1020	115637901，115637902	薬価収載2003.07.04				等張化剤，pH調整剤
	0.5％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	0.5％10mL1管	84.00円／管	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A2026	115638601，115638602	薬価収載2003.07.04				等張化剤，pH調整剤
	0.5％カルボカイン注	Carbocain	アスペンジャパン		注射液：注射	0.5％10mLバイアル	10.80円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A1021	101667304，101667308					メチルパラベン，塩化ナトリウム，pH調整剤
	1％塩酸プロカイン注射液「ニッシン」	Procaine Hydrochloride	日新製薬－山形		注射液：注射	1％5mL1管	92.00円／管	局劇処	安息香酸エステル系局所麻酔剤	121	プロカイン塩酸塩	procaine hydrochloride（JP）	1211401A6027	101644406，101644408					pH調整剤
	1％塩酸メピバカイン注「NM」	Mepivacaine HCl「NM」	ナガセ医薬品	ファイザー	注射液：注射	1％10mLバイアル	10.20円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A2036	101668006，101668007					パラオキシ安息香酸メチル，塩化ナトリウム，リン酸水素ナトリウム水和物，pH調節剤
	1％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	1％5mL1管	78.00円／管	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A3022	115652201，115652202	薬価収載2003.07.04				等張化剤，pH調整剤
	1％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	1％10mL1管	84.00円／管	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A4029	115653901，115653902	薬価収載2003.07.04				等張化剤，pH調整剤
	1％カルボカイン注	Carbocain	アスペンジャパン		注射液：注射	1％10mLバイアル	11.20円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A2028	101668004，101668008					メチルパラベン，塩化ナトリウム，pH調整剤
	1％ディプリバン注	Diprivan	アスペンジャパン		注射液：注射	200mg20mL1管	1,122.00円／管	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A1022	100317802，100317803	薬価収載1995.11.24				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注	Diprivan	アスペンジャパン		注射液：注射	500mg50mL1瓶	1,629.00円／瓶	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A2029	100318502，100318503	薬価収載1995.11.24				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注	Diprivan	アスペンジャパン		注射液：注射	1g100mL1瓶	1,660.00円／瓶	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A3033	118346701，118346702	薬価収載2008.07.04				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注－キット	Diprivan	アスペンジャパン		キット：注射	200mg20mL1筒	1,249.00円／筒	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402G1025	113892401，113892402	薬価収載2001.06.08				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％ディプリバン注－キット	Diprivan	アスペンジャパン		キット：注射	500mg50mL1筒	1,754.00円／筒	劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402G2021	113893101，113893102	薬価収載2001.06.08				ダイズ油，濃グリセリン，精製卵黄レシチン，エデト酸ナトリウム水和物，pH調整剤
	1％プロポフォール注「マルイシ」	Propofol“Maruishi”	丸石製薬		注射液：注射	200mg20mL1管	648.00円／管	後劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A1030	115357601	薬価収載2003.07.04				ダイズ油，中鎖脂肪酸トリグリセリド，精製卵黄レシチン，濃グリセリン，オレイン酸ナトリウム
	1％プロポフォール注「マルイシ」	Propofol“Maruishi”	丸石製薬		注射液：注射	500mg50mL1瓶	877.00円／瓶	後劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A2037	115358301	薬価収載2003.07.04				ダイズ油，中鎖脂肪酸トリグリセリド，精製卵黄レシチン，濃グリセリン，オレイン酸ナトリウム
	1％プロポフォール注「マルイシ」	Propofol“Maruishi”	丸石製薬		注射液：注射	1g100mL1瓶	1,343.00円／瓶	後劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A3025	115359001	薬価収載2003.07.04				ダイズ油，中鎖脂肪酸トリグリセリド，精製卵黄レシチン，濃グリセリン，オレイン酸ナトリウム
	2％塩酸プロカイン注射液「ニッシン」	Procaine Hydrochloride	日新製薬－山形		注射液：注射	2％2mL1管	93.00円／管	局劇処	安息香酸エステル系局所麻酔剤	121	プロカイン塩酸塩	procaine hydrochloride（JP）	1211401A9026	101647506，101647509					pH調整剤
	2％塩酸メピバカイン注「NM」	Mepivacaine HCl「NM」	ナガセ医薬品	ファイザー	注射液：注射	2％10mLバイアル	15.40円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A3032	101669706，101669707					パラオキシ安息香酸メチル，塩化ナトリウム，リン酸水素ナトリウム水和物，pH調節剤
	2％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	2％5mL1管	82.00円／管	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A5025	115620101，115620102	薬価収載2003.07.04				等張化剤，pH調整剤
	2％塩酸メピバカイン注PB	Mepivacaine Hydrochloride	日新製薬－山形	日本ジェネリック	注射液：注射	2％10mL1管	110.00円／管	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214406A6021	115621801，115621802	薬価収載2003.07.04				等張化剤，pH調整剤
	2％カルボカイン注	Carbocain	アスペンジャパン		注射液：注射	2％10mLバイアル	18.20円／mLV	局劇処	アニリド系局所麻酔剤	121	メピバカイン塩酸塩	mepivacaine hydrochloride（JP）	1214402A3024	101669704，101669708					メチルパラベン，塩化ナトリウム，pH調整剤
	2％プロポフォール注「マルイシ」	Propofol“Maruishi”	丸石製薬		注射液：注射	1g50mL1瓶	1,343.00円／瓶	後劇習処	全身麻酔剤	111	プロポフォール	propofol（JAN）	1119402A5028	117008501	薬価収載2005.07.08				ダイズ油，中鎖脂肪酸トリグリセリド，精製卵黄レシチン，濃グリセリン，オレイン酸ナトリウム
	2mgセルシン錠	Cercine	武田テバ薬品	武田薬品工業	錠：内服	2mg1錠	5.90円／錠	局向処	マイナートランキライザー	112	ジアゼパム	diazepam（JP）	1124017F2135	100436601		〓110／2	白～黄みの白	○	トウモロコシデンプン，ステアリン酸マグネシウム，乳糖水和物
	5mgコントール錠	Contol	武田テバ薬品	武田薬品工業	錠：内服	5mg1錠	9.60円／錠	局向処	マイナートランキライザー	112	クロルジアゼポキシド	chlordiazepoxide（JP）	1124028F1030	100533201		〓107／5	白～帯黄白		乳糖水和物，ゼラチン，アラビアゴム末，ステアリン酸マグネシウム，タルク，トウモロコシデンプン，カルナウバロウ，サラシミツロウ，精製白糖
	5mgセルシン錠	Cercine	武田テバ薬品	武田薬品工業	錠：内服	5mg1錠	9.20円／錠	局向処	マイナートランキライザー	112	ジアゼパム	diazepam（JP）	1124017F4049	100445801		〓111／5	淡黄～淡橙黄	○	トウモロコシデンプン，ステアリン酸マグネシウム，乳糖水和物，リボフラビン
	10mgコントール錠	Contol	武田テバ薬品	武田薬品工業	錠：内服	10mg1錠	9.60円／錠	局向処	マイナートランキライザー	112	クロルジアゼポキシド	chlordiazepoxide（JP）	1124028F2036	100534901		〓108／10	白～帯黄白		乳糖水和物，ゼラチン，アラビアゴム末，ステアリン酸マグネシウム，タルク，トウモロコシデンプン，カルナウバロウ，サラシミツロウ，精製白糖
	10mgセルシン錠	Cercine	武田テバ薬品	武田薬品工業	錠：内服	10mg1錠	16.10円／錠	局向処	マイナートランキライザー	112	ジアゼパム	diazepam（JP）	1124017F5037	100460101		〓112／10	白～黄みの白	○	トウモロコシデンプン，ステアリン酸マグネシウム，乳糖水和物
	AZ点眼液0.02％	AZ	ゼリア新薬工業		液：外用〔眼・耳鼻科用剤〕	0.02％5mL1瓶	87.20円／瓶	後	消炎剤	131	アズレン	azulene	1319703Q2124	102113401	薬価収載2008.12.19				ホウ酸，ホウ砂，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，塩化カリウム，塩化ナトリウム
	D・E・X0.1％眼軟膏T【経過措置】	D・E・X	日東メディック		軟膏・硬膏：外用〔眼・耳鼻科用剤〕	0.1％1g	45.80円／g	後	副腎皮質ホルモン	131	デキサメタゾン	dexamethasone（JP）	1315700M2049	102013701	代替品：デキサメタゾン眼軟膏0.1％「ニットー」【薬価削除予定2020.03.31】				流動パラフィン，ゲル化炭化水素
	D・E・X0.1％点眼液T	D・E・X	日東メディック		液：外用〔眼・耳鼻科用剤〕	0.1％1mL	17.60円／mL	後	副腎皮質ホルモン	131	デキサメタゾンメタスルホ安息香酸エステルナトリウム	dexamethasone metasulfobenzoate sodium（JAN）	1315701Q3076	102027401，102027402					氷酢酸，酢酸ナトリウム水和物，ポビドン，濃グリセリン，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，クロロブタノール，pH調節剤
	D・E・X0.02％点眼液T	D・E・X	日東メディック		液：外用〔眼・耳鼻科用剤〕	0.02％1mL	12.60円／mL	後	副腎皮質ホルモン	131	デキサメタゾンメタスルホ安息香酸エステルナトリウム	dexamethasone metasulfobenzoate sodium（JAN）	1315701Q1073	102019901，102019902					氷酢酸，酢酸ナトリウム水和物，ポビドン，濃グリセリン，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，クロロブタノール，pH調節剤
	D・E・X0.05％点眼液T	D・E・X	日東メディック		液：外用〔眼・耳鼻科用剤〕	0.05％1mL	21.00円／mL	後	副腎皮質ホルモン	131	デキサメタゾンメタスルホ安息香酸エステルナトリウム	dexamethasone metasulfobenzoate sodium（JAN）	1315701Q2053	102022901					氷酢酸，酢酸ナトリウム水和物，ポビドン，濃グリセリン，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，クロロブタノール，pH調節剤
	【削除品】DMゾロン0.05％点眼液	DM solone	日本点眼薬研究所		液：外用〔眼・耳鼻科用剤〕	0.05％1mL	18.30円／mL		副腎皮質ホルモン	131	デキサメタゾンメタスルホ安息香酸エステルナトリウム	dexamethasone metasulfobenzoate sodium（JAN）	1315701Q2037		薬価削除2019.03.31				グリセリン，ポビドン，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，クロロブタノール，酢酸，酢酸ナトリウム水和物，等張化剤
	【削除品】DMゾロン点眼液0.1％「日点」	DM Solone「NITTEN」	日本点眼薬研究所		液：外用〔眼・耳鼻科用剤〕	0.1％1mL	20.50円／mL		副腎皮質ホルモン	131	デキサメタゾンメタスルホ安息香酸エステルナトリウム	dexamethasone metasulfobenzoate sodium（JAN）	1315701Q3092		薬価削除2019.03.31				ホウ酸，ホウ砂，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル
	【削除品】DMゾロン点眼液0.02％「日点」	DM Solone「NITTEN」	日本点眼薬研究所		液：外用〔眼・耳鼻科用剤〕	0.02％1mL	12.60円／mL		副腎皮質ホルモン	131	デキサメタゾンメタスルホ安息香酸エステルナトリウム	dexamethasone metasulfobenzoate sodium（JAN）	1315701Q1103		薬価削除2019.03.31				ホウ酸，ホウ砂，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル
	FAD点眼液0.05％「サンテン」	FAD「SANTEN」	参天製薬		液：外用〔眼・耳鼻科用剤〕	0.05％5mL1瓶	84.80円／瓶	後	補酵素型ビタミンB2	131	フラビンアデニンジヌクレオチド	flavin adenine dinucleotide	1319714Q3099	102142401	薬価収載2006.06.09				エデト酸ナトリウム水和物，クロロブタノール，酢酸ナトリウム水和物，パラオキシ安息香酸プロピル，パラオキシ安息香酸メチル，ホウ酸，pH調節剤
	FAD点眼液0.05％「日東」	FAD「NITTO」	日東メディック		液：外用〔眼・耳鼻科用剤〕	0.05％5mL1瓶	84.80円／瓶	後	補酵素型ビタミンB2	131	フラビンアデニンジヌクレオチド	flavin adenine dinucleotide	1319714Q3129	125061901	薬価収載2016.06.17				エデト酸ナトリウム水和物，ホウ酸，酢酸ナトリウム水和物，クロロブタノール，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，氷酢酸
	【削除品】HCゾロン点眼液0.5％「日点」	HC Solone	日本点眼薬研究所		液：外用〔眼・耳鼻科用剤〕	0.5％1mL	18.70円／mL			131	ヒドロコルチゾン酢酸エステル		1315703Q1056		薬価削除2019.03.31				ポリソルベート80，ベンザルコニウム塩化物，等張化剤
	PA・ヨード点眼・洗眼液	PA・Iodo	日本点眼薬研究所		液：外用〔眼・耳鼻科用剤〕	0.2％1mL	22.10円／mL		局所消毒薬	131	ヨウ素	iodine（JP）	1319715Q1031	102148601	薬価収載2007.12.21				ヨウ化カリウム
	PL配合顆粒		シオノギファーマ	塩野義製薬	顆粒：内服	1g	6.40円／g	劇	総合感冒剤	118	PL	PL	1180107D1131	101605501	薬価収載2009.09.25				乳糖水和物，トウモロコシデンプン，塩化ナトリウム，白糖，含水二酸化ケイ素
	【削除品】PSゾロン点眼液0.11％「日点」	PS Solone	日本点眼薬研究所		液：外用〔眼・耳鼻科用剤〕	0.1％1mL	20.00円／mL		副腎皮質ホルモン	131	プレドニゾロン酢酸エステル	prednisolone acetate（JP）	1315707Q1038		薬価削除2019.03.31				ポリソルベート80，ベンザルコニウム塩化物，等張化剤
	SG配合顆粒		シオノギファーマ	塩野義製薬	顆粒：内服	1g	10.40円／g		解熱鎮痛剤	114	SG配合顆粒	SG	1149116D1033	115581501	薬価収載2009.09.25				乳糖水和物，ヒドロキシプロピルセルロース，メチルセルロース，含水二酸化ケイ素
	アーテン散1％	Artane	ファイザー		散：内服	1％1g	17.70円／g	処	抗パーキンソン剤	116	トリヘキシフェニジル塩酸塩	trihexyphenidyl hydrochloride（JP）	1169002B1078	101200201，101200202	薬価収載2001.09.07				トウモロコシデンプン，カルメロースナトリウム，乳糖水和物
	アーテン錠（2mg）	Artane	ファイザー		錠：内服	2mg1錠	8.60円／錠	局処	抗パーキンソン剤	116	トリヘキシフェニジル塩酸塩	trihexyphenidyl hydrochloride（JP）	1169001F1024	101199908，101199926		〓434	白	○	乳糖水和物，トウモロコシデンプン，部分アルファー化デンプン，ステアリン酸マグネシウム
	アイオピジンUD点眼液1％	Iopidine	ノバルティスファーマ		液：外用〔眼・耳鼻科用剤〕	1％0.1mL1個	668.50円／個	劇処	レーザー術後眼圧上昇防止剤	131	アプラクロニジン塩酸塩	apraclonidine hydrochloride（JAN）	1319737Q1038	102245201，102245202	薬価収載2007.06.15				酢酸ナトリウム水和物，等張化剤，pH調整剤
	アイケア点眼液0.1％	Eyecare	科研製薬	テイカ製薬	液：外用〔眼・耳鼻科用剤〕	0.1％5mL1瓶	245.60円／瓶	後局	眼科手術補助・関節機能改善剤	131	精製ヒアルロン酸ナトリウム	purified sodium hyaluronate（JP）	1319720Q3086	112294701，112294702	薬価収載2007.12.21				ホウ酸，トロメタモール，塩化ナトリウム，塩化カリウム，クロルヘキシジングルコン酸塩
	アイケア点眼液0.3％	Eyecare	科研製薬	テイカ製薬	液：外用〔眼・耳鼻科用剤〕	0.3％5mL1瓶	328.40円／瓶	後局	眼科手術補助・関節機能改善剤	131	精製ヒアルロン酸ナトリウム	purified sodium hyaluronate（JP）	1319720Y2063	121674501，121674502	薬価収載2012.06.22				ホウ酸，ホウ砂，塩化ナトリウム，塩化カリウム，クロルヘキシジングルコン酸塩
