院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	「山善」第二リン灰		山善製薬		末：内服	10g	1.55円／g	局	カルシウム剤	321	リン酸水素カルシウム水和物	dibasic calcium phosphate hydrate（JP）	3219001X1138	107280812	薬価収載2011.10.28				
	5％糖液キットH	Glucose H	ニプロ		キット：注射	5％50mL1キット	182.00円／キット	後処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231400G3028	107345401，107345402					
	5％糖液キットH	Glucose H	ニプロ	光製薬	キット：注射	5％100mL1キット	185.00円／キット	後処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231400G4024	107346101，107346102					
	5％ブドウ糖注射液「ニッシン」	Glucose	日新製薬－山形	ファイザー，共和クリティケア，富士フイルムファーマ，日本ジェネリック	注射液：注射	5％20mL1管	61.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401A1124	107351502，107351511，107351514，107351515，107351517					
	5mgアリナミンF糖衣錠	Alinamin－F	武田薬品工業		錠：内服	5mg1錠	5.80円／錠		活性型ビタミンB1	312	フルスルチアミン	fursultiamine（JAN）	3122007F1024	106824501		〓306	白		香料，トウモロコシデンプン，アルファー化デンプン，ゼラチン，ステアリン酸マグネシウム，乳糖水和物，タルク，アラビアゴム末，精製セラック，ヒマシ油，モノステアリン酸グリセリン，カルナウバロウ，サラシミツロウ，精製白糖
	10％EL－3号輸液	EL No.3	エイワイファーマ	陽進堂	注射液：注射	500mL1袋	165.00円／袋	処	電解質輸液	331	維持液		3319506A2041	107740703，107740704	薬価収載2008.06.20				氷酢酸（pH調節剤）
	10％食塩注「小林」	Sodium Chloride	共和クリティケア		注射液：注射	10％20mL1管	95.00円／管	局処	無機電解質物質	331	塩化ナトリウム	sodium chloride（JP）	3311400A1084	107658504	薬価収載2006.05.01				
	10％食塩注シリンジ「タイヨー」		テバ製薬		キット：注射	10％20mL1筒	142.00円／筒	後処	無機電解質物質	331	塩化ナトリウム	sodium chloride（JP）	3311403G1030	116724501	薬価収載2005.07.08				
	20％ブドウ糖注「日医工」	Glucose	日医工		注射液：注射	20％20mL1管	61.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401H1025	101556018					
	20％ブドウ糖注射液「ニッシン」	Glucose	日新製薬－山形	ファイザー，共和クリティケア，富士フイルムファーマ，日本ジェネリック	注射液：注射	20％20mL1管	61.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401H1173	101556020，101556029，101556030，101556033，101556036，101556039					
	20％ブドウ糖注射液SN	Glucose SN	シオノケミカル		注射液：注射	20％20mL1管	61.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401H1190	101556023					
	20％フルクトン注	Fructon	大塚製薬工場	大塚製薬	注射液：注射	20％20mL1管	96.00円／管	局処	糖類剤	323	果糖	fructose（JP）	3232400A6030	107387401					
	25mgアリナミンF糖衣錠	Alinamin－F	武田薬品工業		錠：内服	25mg1錠	6.00円／錠		活性型ビタミンB1	312	フルスルチアミン	fursultiamine（JAN）	3122007F2039	106826901		〓307	黄		トウモロコシデンプン，アルファー化デンプン，ゼラチン，ステアリン酸マグネシウム，乳糖水和物，タルク，アラビアゴム末，酸化チタン，ヒマシ油，モノステアリン酸グリセリン，精製セラック，カルナウバロウ，サラシミツロウ，リボフラビン，精製白糖
	50％ブドウ糖注射液「ニッシン」	Glucose	日新製薬－山形	共和クリティケア，富士フイルムファーマ，日本ジェネリック	注射液：注射	50％20mL1管	97.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401H7104	101557709，101557711，101557712，101557713					pH調整剤
	50mgアリナミンF糖衣錠	Alinamin－F	武田薬品工業		錠：内服	50mg1錠	11.30円／錠		活性型ビタミンB1	312	フルスルチアミン	fursultiamine（JAN）	3122007F3027	106829001		〓308 50 〓308	黄		トウモロコシデンプン，アルファー化デンプン，ゼラチン，ステアリン酸マグネシウム，乳糖水和物，タルク，アラビアゴム末，酸化チタン，ヒマシ油，モノステアリン酸グリセリン，精製セラック，カルナウバロウ，サラシミツロウ，リボフラビン，精製白糖
	ACD－A液【本文未収載】	ACD－A	テルモ		その他：注射			処		333	血液保存液A液		333950AX1030						
	AK－ソリタ透析剤・DL	AK－Solita・DL	エイワイファーマ	陽進堂	注射液：注射	9L1瓶（炭酸水素ナトリウム液付）	2,855.00円／瓶	処	人工腎臓用透析液	341	AK-ソリタ	AK-Solita	3410522A1036	108227202，108227203	薬価収載2008.06.20				塩酸（pH調節剤）
	AK－ソリタ透析剤・DP	AK－Solita・DP	エイワイファーマ	陽進堂	注射液：注射	9L1瓶（炭酸水素ナトリウム付）	1,311.00円／瓶	処	人工腎臓用透析液	341	AK-ソリタ	AK-Solita	3410521A1031	108225802，108225803	薬価収載2008.06.20				塩酸（pH調節剤）
	AK－ソリタ透析剤・FL	AK－Solita・FL	エイワイファーマ	陽進堂	注射液：注射	9L1瓶（炭酸水素ナトリウム液付）	2,910.00円／瓶	処	人工腎臓用透析液	341	AK-ソリタ	AK-Solita	3410522A2032	108228902，108228903	薬価収載2008.06.20				塩酸（pH調節剤）
	AK－ソリタ透析剤・FP	AK－Solita・FP	エイワイファーマ	陽進堂	注射液：注射	9L1瓶（炭酸水素ナトリウム付）	1,549.00円／瓶	処	人工腎臓用透析液	341	AK-ソリタ	AK-Solita	3410521A2038	108226502，108226503	薬価収載2008.06.20				塩酸（pH調節剤）
	ATP注10mg「イセイ」	ATP	コーアイセイ		注射液：注射	10mg1管	50.00円／管	後処	代謝賦活・抗めまい剤	399	アデノシン三リン酸二ナトリウム水和物	adenosine triphosphate disodium hydrate（JAN）	3992400A1085	108799401，108799402					グリシン，pH調節剤
	ATP注20mg「イセイ」	ATP	コーアイセイ	日医工	注射液：注射	20mg1管	50.00円／管	後処	代謝賦活・抗めまい剤	399	アデノシン三リン酸二ナトリウム水和物	adenosine triphosphate disodium hydrate（JAN）	3992400A2090	108806901，108806902，108806903					グリシン，pH調節剤
	ATP腸溶錠20mg「NP」	ATP	ニプロ		腸溶錠：内服	20mg1錠	5.40円／錠	後	代謝賦活・抗めまい剤	399	アデノシン三リン酸二ナトリウム水和物	adenosine triphosphate disodium hydrate（JAN）	3992001F1335	108786401	薬価収載2007.06.15	HD-030	橙		乳糖水和物，バレイショデンプン，ステアリン酸マグネシウム，ヒドロキシプロピルセルロース，ヒプロメロースフタル酸エステル，グリセリン脂肪酸エステル，酸化チタン，精製白糖，沈降炭酸カルシウム，タルク，ショ糖脂肪酸エステル，精製ゼラチン，アラビアゴム末，ポリオキシエチレンポリオキシプロピレングリコール，カルナウバロウ，黄色5号
	ATP腸溶錠20mg「第一三共」	ATP“DAIICHISANKYO”	第一三共		腸溶錠：内服	20mg1錠	5.60円／錠		代謝賦活・抗めまい剤	399	アデノシン三リン酸二ナトリウム水和物	adenosine triphosphate disodium hydrate（JAN）	3992001F1351	108789502	薬価収載2009.09.25	〓609	白～淡黄白		トウモロコシデンプン，乳糖水和物，ポリビニルアルコール（部分けん化物），タルク，ステアリン酸マグネシウム，ヒプロメロース，メタクリル酸コポリマーLD，ラウリル硫酸ナトリウム，ポリソルベート80，マクロゴール6000，ジメチルポリシロキサン，二酸化ケイ素，カルナウバロウ
	ATP腸溶錠20mg「日医工」	ATP	日医工		腸溶錠：内服	20mg1錠	5.40円／錠	後	代謝賦活・抗めまい剤	399	アデノシン三リン酸二ナトリウム水和物	adenosine triphosphate disodium hydrate（JAN）	3992001F1343	108785701	薬価収載2007.06.15	〓162 〓162	白		乳糖，トウモロコシデンプン，セルロース，ヒドロキシプロピルセルロース，ステアリン酸マグネシウム，タルク，メタクリル酸コポリマーLD，クエン酸トリエチル，酸化チタン，カルナウバロウ
	Dドライ透析剤2.5S	D Dry	日機装		注射用：注射	2瓶1組	1,273.00円／組	処	粉末型人工腎臓透析用剤	341	DドライS	D Dry S	3410526D2037	115617101	薬価収載2009.09.25				
	Dドライ透析剤3.0S	D Dry	日機装		注射用：注射	2瓶1組	1,225.00円／組	処	粉末型人工腎臓透析用剤	341	DドライS	D Dry S	3410527D2031	115618801	薬価収載2009.09.25				
	EL－3号輸液	EL No.3	エイワイファーマ	陽進堂	注射液：注射	500mL1袋	199.00円／袋	処	電解質輸液	331	維持液		3319518A2036	107793303，107793304	薬価収載2008.06.20				氷酢酸（pH調節剤）
	ESポリタミン配合顆粒	ES－Polytamin	味の素製薬		顆粒：内服	1g	20.40円／g		必須アミノ酸製剤	325	ESポリタミン配合顆粒	ES-Polytamin	3253002D1030	107478901，107478902	薬価収載2009.09.25				結晶セルロース，トウモロコシデンプン，マクロゴール6000，ヒドロキシプロピルセルロース，亜硫酸水素ナトリウム，タルク，プロピレングリコール，香料
	FAD錠「15」タツミ	FAD	辰巳化学	日医工	腸溶錠：内服	15mg1錠	5.60円／錠	後	補酵素型ビタミンB2	313	フラビンアデニンジヌクレオチド	flavin adenine dinucleotide	3131001F3096	106891705，106891716		Tu FAD-15	黄		乳糖水和物，セルロース，低置換度ヒドロキシプロピルセルロース，ポビドン，ステアリン酸Mg，ヒプロメロースフタル酸エステル，グリセリン脂肪酸エステル，酸化チタン，黄色4号，タートラジン，黄色5号，カルナウバロウ
	【削除品】FAD錠5mg「TYK」	FAD「TYK」	大正薬品工業	テバ製薬	腸溶錠：内服	5mg1錠	5.60円／錠	後	補酵素型ビタミンB2	313	フラビンアデニンジヌクレオチド	flavin adenine dinucleotide	3131001F1212		薬価削除2015.03.31				乳糖水和物，ポビドン，結晶セルロース，低置換度ヒドロキシプロピルセルロース，ステアリン酸Mg，ヒプロメロースフタル酸エステル，グリセリン脂肪酸エステル，酸化チタン，カルナウバロウ，黄色4号（タートラジン），黄色5号
	FAD錠5mg「ツルハラ」		鶴原製薬		腸溶錠：内服	5mg1錠	5.60円／錠	後	補酵素型ビタミンB2	313	フラビンアデニンジヌクレオチド	flavin adenine dinucleotide	3131001F1204	106878802	薬価収載2008.06.20				黄色4号（タートラジン），黄色5号，乳糖水和物，結晶セルロース，ヒドロキシプロピルセルロース，カルメロースカルシウム，ステアリン酸マグネシウム，軽質無水ケイ酸，タルク，酸化チタン，ヒプロメロースフタル酸エステル，クエン酸トリエチル，カルナウバロウ
	【削除品】FAD錠10mg「TYK」	FAD「TYK」	大正薬品工業	テバ製薬	腸溶錠：内服	10mg1錠	5.60円／錠	後	補酵素型ビタミンB2	313	フラビンアデニンジヌクレオチド	flavin adenine dinucleotide	3131001F2200		薬価削除2015.03.31				乳糖水和物，ポビドン，結晶セルロース，低置換度ヒドロキシプロピルセルロース，ステアリン酸Mg，ヒプロメロースフタル酸エステル，グリセリン脂肪酸エステル，酸化チタン，カルナウバロウ，黄色4号（タートラジン），黄色5号
	FAD錠10mg「ツルハラ」		鶴原製薬		腸溶錠：内服	10mg1錠	5.60円／錠	後	補酵素型ビタミンB2	313	フラビンアデニンジヌクレオチド	flavin adenine dinucleotide	3131001F2197	106885602	薬価収載2008.06.20				黄色4号（タートラジン），黄色5号，乳糖水和物，結晶セルロース，ヒドロキシプロピルセルロース，カルメロースカルシウム，ステアリン酸マグネシウム，タルク，酸化チタン，ヒプロメロースフタル酸エステル，クエン酸トリエチル，カルナウバロウ
