院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	「山善」第二リン灰		山善製薬		末：内服	10g	1.55円／g	局	カルシウム剤	321	リン酸水素カルシウム水和物	dibasic calcium phosphate hydrate（JP）	3219001X1138	107280812	薬価収載2011.10.28				
	5％糖液キットH	Glucose H	ニプロ		キット：注射	5％50mL1キット	160.00円／キット	後処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231400G3028	107345401，107345402					
	5％糖液キットH	Glucose H	ニプロ	光製薬	キット：注射	5％100mL1キット	165.00円／キット	後処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231400G4024	107346101，107346102					
	5％ブドウ糖注射液「ニッシン」	Glucose	日新製薬－山形	ファイザー，共和クリティケア，富士フイルムファーマ，日本ジェネリック	注射液：注射	5％20mL1管	65.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401A1124	107351502，107351511，107351514，107351515，107351517					
	5mgアリナミンF糖衣錠	Alinamin－F	武田テバ薬品	武田薬品工業	錠：内服	5mg1錠	5.80円／錠		活性型ビタミンB1	312	フルスルチアミン	fursultiamine（JAN）	3122007F1024	106824501		〓306	白		香料，トウモロコシデンプン，アルファー化デンプン，ゼラチン，ステアリン酸マグネシウム，乳糖水和物，タルク，アラビアゴム末，精製セラック，ヒマシ油，モノステアリン酸グリセリン，カルナウバロウ，サラシミツロウ，精製白糖
	10％EL－3号輸液	EL No.3	エイワイファーマ	陽進堂	注射液：注射	500mL1袋	188.00円／袋	処	電解質輸液	331	維持液		3319506A2041	107740703，107740704	薬価収載2008.06.20				氷酢酸（pH調節剤）
	10％食塩注「小林」	Sodium Chloride	共和クリティケア		注射液：注射	10％20mL1管	95.00円／管	局処	無機電解質物質	331	塩化ナトリウム	sodium chloride（JP）	3311400A1084	107658504	薬価収載2006.05.01				
	10％食塩注シリンジ「タイヨー」		武田テバファーマ	武田薬品工業	キット：注射	10％20mL1筒	135.00円／筒	後局処	無機電解質物質	331	塩化ナトリウム	sodium chloride（JP）	3311403G1030	116724501，116724502	薬価収載2005.07.08				
	20％ブドウ糖注「日医工」	Glucose	日医工		注射液：注射	20％20mL1管	66.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401H1025	101556018					
	20％ブドウ糖注射液「ニッシン」	Glucose	日新製薬－山形	ファイザー，共和クリティケア，富士フイルムファーマ，日本ジェネリック	注射液：注射	20％20mL1管	66.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401H1173	101556020，101556029，101556030，101556033，101556036，101556039					
	20％ブドウ糖注射液SN	Glucose SN	シオノケミカル		注射液：注射	20％20mL1管	66.00円／管	局処	栄養補給薬	323	ブドウ糖	glucose（JP）	3231401H1190	101556023					
	20％フルクトン注	Fructon	大塚製薬工場	大塚製薬	注射液：注射	20％20mL1管	96.00円／管	局処	糖類剤	323	果糖	fructose（JP）	3232400A6030	107387401					
