院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	MSコンチン錠10mg	MS Contin	シオノギファーマ	塩野義製薬	徐放錠：内服	10mg1錠	245.60円／錠	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004G1027	112052301，112052302，112052303，112052305，112052306		〓902／10 〓902：10	薄黄褐		無水乳糖，ヒドロキシエチルセルロース，セタノール，ステアリルアルコール，ステアリン酸マグネシウム，タルク，ヒプロメロース，マクロゴール400，酸化チタン，黄色三二酸化鉄，三二酸化鉄
	MSコンチン錠30mg	MS Contin	シオノギファーマ	塩野義製薬	徐放錠：内服	30mg1錠	713.50円／錠	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004G2023	112053001，112053002，112053003，112053005，112053006		〓902／30 〓902：30	青紫～赤紫		無水乳糖，ヒドロキシエチルセルロース，セタノール，ステアリルアルコール，ステアリン酸マグネシウム，タルク，ヒプロメロース，マクロゴール400，酸化チタン，赤色3号アルミニウムレーキ，青色1号アルミニウムレーキ
	MSコンチン錠60mg	MS Contin	シオノギファーマ	塩野義製薬	徐放錠：内服	60mg1錠	1,288.10円／錠	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004G3020	112054701，112054702，112054703，112054704，112054705		〓902／60 〓902：60	橙		無水乳糖，ヒドロキシエチルセルロース，セタノール，ステアリルアルコール，ステアリン酸マグネシウム，タルク，ヒプロメロース，マクロゴール400，酸化チタン，黄色5号アルミニウムレーキ
	MSツワイスロンカプセル10mg	MS－Twicelon	帝國製薬		徐放カプセル：内服	10mg1カプセル	245.60円／カプセル	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004N4025	114544101，114544102	薬価収載2001.07.06	TF-TL10	黄／無透明		白糖，トウモロコシデンプン，マクロゴール，ヒプロメロース，エチルセルロース，セタノール，タルク，ラウリル硫酸ナトリウム，その他1成分
	MSツワイスロンカプセル30mg	MS－Twicelon	帝國製薬		徐放カプセル：内服	30mg1カプセル	671.30円／カプセル	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004N5021	114545801，114545802	薬価収載2001.07.06	TF-TL30	淡紅／無透明		白糖，トウモロコシデンプン，マクロゴール，ヒプロメロース，エチルセルロース，セタノール，タルク，ラウリル硫酸ナトリウム，赤色3号，その他1成分
	MSツワイスロンカプセル60mg	MS－Twicelon	帝國製薬		徐放カプセル：内服	60mg1カプセル	1,211.90円／カプセル	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004N6028	114546501，114546502	薬価収載2001.07.06	TF-TL60	橙／無透明		白糖，トウモロコシデンプン，マクロゴール，ヒプロメロース，エチルセルロース，セタノール，タルク，ラウリル硫酸ナトリウム，黄色5号，その他1成分
	アブストラル舌下錠100μg	Abstral	協和キリン	久光製薬	舌下錠：内服	100μg1錠	560.80円／錠	劇麻処	麻酔用ピペリジン系鎮痛剤，疼痛治療剤	821	フェンタニルクエン酸塩	fentanyl citrate（JP）	8219001F1020	122935601，122935602	薬価収載2013.11.19	KH11	白		D-マンニトール，結晶セルロース，軽質無水ケイ酸，クロスカルメロースナトリウム，ステアリン酸マグネシウム
	アブストラル舌下錠200μg	Abstral	協和キリン	久光製薬	舌下錠：内服	200μg1錠	789.50円／錠	劇麻処	麻酔用ピペリジン系鎮痛剤，疼痛治療剤	821	フェンタニルクエン酸塩	fentanyl citrate（JP）	8219001F2026	122936301，122936302	薬価収載2013.11.19	KH12	まだらをもつ極薄黄		D-マンニトール，結晶セルロース，軽質無水ケイ酸，クロスカルメロースナトリウム，ステアリン酸マグネシウム，黄色三二酸化鉄
	アブストラル舌下錠400μg	Abstral	協和キリン	久光製薬	舌下錠：内服	400μg1錠	1,055.90円／錠	劇麻処	麻酔用ピペリジン系鎮痛剤，疼痛治療剤	821	フェンタニルクエン酸塩	fentanyl citrate（JP）	8219001F3022	122937001，122937002	薬価収載2013.11.19	KH13	まだらをもつ薄帯黄赤		D-マンニトール，結晶セルロース，軽質無水ケイ酸，クロスカルメロースナトリウム，ステアリン酸マグネシウム，三二酸化鉄
	アヘン散	Diluted Opium Powder	武田薬品工業		散：内服	10％1g	268.80円／g	局劇麻処	鎮痛・鎮痙・鎮静剤	811	アヘン	opium	8112001B1048	185008602，185008604，185008605					バレイショデンプン
	アヘン散「第一三共」	Opium“DAIICHI SANKYO”	第一三共プロファーマ	第一三共	散：内服	10％1g	268.80円／g	局劇麻処	鎮痛・鎮痙・鎮静剤	811	アヘン	opium	8112001B1056	185005501，185005502，185005505	薬価収載2009.12.01				軽質無水ケイ酸，バレイショデンプン
	アヘンチンキ	Opium Tincture	武田薬品工業		液：内服	10％1mL	198.10円／mL	局劇麻処	鎮痛・鎮痙・鎮静剤	811	アヘン	opium	8113001S1037	185013002，185013003，185013004，185013005					
	アヘンチンキ「第一三共」	Opium Tincture“DAIICHI SANKYO”	第一三共プロファーマ	第一三共	液：内服	10％1mL	198.10円／mL	局劇麻処	鎮痛・鎮痙・鎮静剤	811	アヘン	opium	8113001S1045	185010901，185010902，185010905	薬価収載2010.03.01				エタノール
	アヘン末「第一三共」	Opium“DAIICHI SANKYO”	第一三共プロファーマ	第一三共	末：内服	1g	1,118.80円／g	局劇麻処	鎮痛・鎮痙・鎮静剤	811	アヘン	opium	8112001A1034	185000001，185000002，185000004，185000005，185000006	薬価収載2009.12.01				バレイショデンプン
	アルチバ静注用2mg	Ultiva	ヤンセンファーマ		静注用：注射	2mg1瓶	2,035.00円／瓶	劇麻処	全身麻酔用鎮痛剤	821	レミフェンタニル塩酸塩	remifentanil hydrochloride（JAN）	8219401D1021	117687201，117687202，117687203，117687204	薬価収載2006.12.01				グリシン，pH調整剤
	アルチバ静注用5mg	Ultiva	ヤンセンファーマ		静注用：注射	5mg1瓶	4,627.00円／瓶	劇麻処	全身麻酔用鎮痛剤	821	レミフェンタニル塩酸塩	remifentanil hydrochloride（JAN）	8219401D2028	117688901，117688902，117688903，117688904	薬価収載2006.12.01				グリシン，pH調整剤
	アンペック坐剤10mg	Anpec	大日本住友製薬		坐剤：外用	10mg1個	320.10円／個	劇麻処	鎮痛・鎮咳・止瀉剤	811	モルヒネ塩酸塩水和物	morphine hydrochloride hydrate（JP）	8114700J1023	112061501，112061502，112061503，112061505		P187	白～微黄		ハードファット（基剤）
	アンペック坐剤20mg	Anpec	大日本住友製薬		坐剤：外用	20mg1個	612.90円／個	劇麻処	鎮痛・鎮咳・止瀉剤	811	モルヒネ塩酸塩水和物	morphine hydrochloride hydrate（JP）	8114700J2020	112062201，112062202，112062203，112062205		P188	白～微黄		ハードファット（基剤）
	アンペック坐剤30mg	Anpec	大日本住友製薬		坐剤：外用	30mg1個	866.30円／個	劇麻処	鎮痛・鎮咳・止瀉剤	811	モルヒネ塩酸塩水和物	morphine hydrochloride hydrate（JP）	8114700J3026	112063901，112063902，112063903，112063905	薬価収載1999.05.14	P189	白～微黄		ハードファット（基剤）
	アンペック注10mg	Anpec	大日本住友製薬		注射液：注射	1％1mL1管	305.00円／管	局劇麻処	鎮痛・鎮咳・止瀉剤	811	モルヒネ塩酸塩水和物	morphine hydrochloride hydrate（JP）	8114401A1082	185042001，185042003，185042005					pH調節剤
	アンペック注50mg	Anpec	大日本住友製薬		注射液：注射	1％5mL1管	1,371.00円／管	局劇麻処	鎮痛・鎮咳・止瀉剤	811	モルヒネ塩酸塩水和物	morphine hydrochloride hydrate（JP）	8114401A2089	185047501，185047503，185047505					pH調節剤
	アンペック注200mg	Anpec	大日本住友製薬		注射液：注射	4％5mL1管	5,065.00円／管	局劇麻処	鎮痛・鎮咳・止瀉剤	811	モルヒネ塩酸塩水和物	morphine hydrochloride hydrate（JP）	8114401A3026	185052901，185052902，185052903，185052904，185052905	薬価収載2001.07.06				亜硫酸水素ナトリウム，pH調節剤
