院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	「エビス」カンフル精	Camphor Spirit	日興製薬		液：外用	10mL	1.91円／mL	後	消炎・鎮痛・鎮痒剤	264	カンフル	camphor	2645700Q1028	106027003					エタノール
	「エビス」クリゲン液	「EBISU」Clegen	兼一薬品工業		液：外用	5％10mL	1.07円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q3020	105877202					赤色2号，香料
	「純生」dl－カンフル	dl－Camphor	小堺製薬	日興製薬販売	末：外用	1g	7.20円／g	局	消炎・鎮痛・鎮痒剤	264	カンフル	camphor	2645701X1043	106041604					
	「純生」ノスカピン	Noscapine	小堺製薬		末：内服	1g	237.10円／g	局	非麻薬性鎮咳剤	222	ノスカピン	noscapine（JP）	2222001A1020	103719702					
	「純生」ミョウバン	Aluminum Potassium Sulfate Hydrate	小堺製薬	日興製薬販売	その他（外用原体）：外用	10g	0.99円／g	局	局所収れん剤	264	硫酸アルミニウムカリウム水和物	aluminum potassium sulfate hydrate（JP）	2649703X1033	106326407					
	「純生」無水カフェイン	Anhydrous Caffeine	小堺製薬	日興製薬販売	末：内服	1g	9.50円／g	局劇	キサンチン系中枢興奮・強心・利尿剤/未熟児無呼吸発作治療剤	211	カフェイン	caffeine	2115009X1020	102389306					
	0.1％アクリノール液「ヤクハン」	Acrinol	ヤクハン製薬	日興製薬販売，日医工	液：外用	0.1％10mL	0.67円／mL	後	殺菌消毒剤	261	アクリノール水和物	acrinol hydrate（JP）(ethacridine（INN）)	2619700Q1168	105836902，105836903，105836904	薬価収載1998.07.10				
	0.1％グルコジンR水	Glucodine R	ヤクハン製薬		液：外用	0.1％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q7041	112900701，112900702，112900703，112900705					ラウロマクロゴール，赤色2号
	0.1％グルコジンW水	Glucodine W	ヤクハン製薬	日医工	液：外用	0.1％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702X1056	112902101，112902102，112902104	薬価収載2000.07.07				
	0.1％ヘキザック水R	Hexizac R	吉田製薬		液：外用	0.1％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q7033	105898701	薬価収載1997.07.11				ポリオキシエチレンノニルフェニルエーテル，赤色2号
	0.1％ヘキザック水W	Hexizac W	吉田製薬		液：外用	0.1％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702X1030	105903801	薬価収載1995.07.07				
	0.1W／V％ヂアミトール水	Germitol Water	日興製薬	丸石製薬	液：外用	0.1％10mL	0.55円／mL	局	殺菌消毒剤	261	ベンザルコニウム塩化物	benzalkonium chloride（JP）	2616700Q6044	105806202					
	0.1W／V％ヂアミトール水E	Germitol Water E	日興製薬	丸石製薬	液：外用				殺菌消毒剤	261	ベンザルコニウム塩化物	benzalkonium chloride（JP）	261670GQ2040						エタノール
	0.1W／V％ハイジール水	Hygieel	日興製薬	丸石製薬	液：外用	0.1％10mL	0.51円／mL	後	消毒剤	261	アルキルジアミノエチルグリシン塩酸塩	alkyldiaminoethylglycine hydrochloride（JAN）	2619716Q5040	115384201	薬価収載2003.07.04				pH調整剤
	0.1W／V％マスキン水	Maskin	日興製薬	丸石製薬	液：外用	0.1％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702X1048	105904501	薬価収載1996.07.05				
	0.2W／V％ヂアミトール水	Germitol Water	日興製薬	丸石製薬	液：外用	0.2％10mL	0.57円／mL	局	殺菌消毒剤	261	ベンザルコニウム塩化物	benzalkonium chloride（JP）	2616700Q7032	105807901					
	0.2W／V％ハイジール水	Hygieel	日興製薬	丸石製薬	液：外用	0.2％10mL	0.51円／mL	後	消毒剤	261	アルキルジアミノエチルグリシン塩酸塩	alkyldiaminoethylglycine hydrochloride（JAN）	2619716Q6047	115411501	薬価収載2003.07.04				pH調整剤
	0.5％グルコジンR水	Glucodine R	ヤクハン製薬	日医工	液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q2120	112896301，112896302，112896304	薬価収載2000.07.07				ラウロマクロゴール，赤色2号
	0.5％グルコジンW水	Glucodine W	ヤクハン製薬	日医工	液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q1213	112895601，112895602，112895604	薬価収載2000.07.07				
	0.5％グルコン酸クロルヘキシジン・エタノール液「東海」		東海製薬		液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q2058	105870301，105870302					エタノール，赤色227号，その他1成分
	0.5％ヘキザックアルコール液	Hexizac Alcohol	吉田製薬		液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q1078	105854301					エタノール，メチルロザニリン塩化物
	0.5％ヘキザックアルコール液N	Hexizac Alcohol N	吉田製薬		液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q2139	112897001	薬価収載2000.07.07				エタノール，ポリオキシエチレンノニルフェニルエーテル
	0.5％ヘキザック水R	Hexizac R	吉田製薬		液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q2104	105875801	薬価収載1997.07.11				ポリオキシエチレンノニルフェニルエーテル，赤色2号
	0.5％ヘキザック水W	Hexizac W	吉田製薬		液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q1175	105864201	薬価収載1996.07.05				
	0.5％ラポテックアルコール（W）液	Rapotec Alcohol（W）	日興製薬	ファイザー	液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q1167	105863502，105863503，105863504	薬価収載1996.07.05				
	0.5％ラポテックアルコール液	Rapotec Alcohol	日興製薬	ファイザー	液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q1086	105855001，105855002，105855004，105855005					赤色227号，香料
	0.5W／V％ハイジール水	Hygieel	日興製薬	丸石製薬	液：外用	0.5％10mL	0.54円／mL	後	消毒剤	261	アルキルジアミノエチルグリシン塩酸塩	alkyldiaminoethylglycine hydrochloride（JAN）	2619716Q4044	115395801	薬価収載2003.07.04				pH調整剤
	0.5W／V％マスキン水	Maskin	日興製薬	丸石製薬	液：外用	0.5％10mL	0.63円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q1159	105862801	薬価収載1996.07.05				
	0.02％グルコジンW水	Glucodine W	ヤクハン製薬	日医工	液：外用	0.02％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q8056	112901401，112901402，112901403，112901405	薬価収載2000.07.07				
	0.02％ヘキザック水W	Hexizac W	吉田製薬		液：外用	0.02％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q8048	105901401	薬価収載1996.07.05				
	0.02W／V％マスキン水	Maskin	日興製薬	丸石製薬	液：外用	0.02％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q8030	105900701	薬価収載1996.07.05				
	0.05％グルコジンR水	Glucodine R	ヤクハン製薬	日興製薬販売，日医工	液：外用	0.05％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q6053	105895601，105895602，105895603，105895605	薬価収載1995.07.07				ラウロマクロゴール，赤色2号
	0.05％グルコジンW水	Glucodine W	ヤクハン製薬	日興製薬販売，日医工	液：外用	0.05％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702X2036	105906901，105906902，105906903，105906905	薬価収載1995.07.07				
	0.05％ヘキザック水R	Hexizac R	吉田製薬		液：外用	0.05％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q6070	105896301	薬価収載1997.07.11				ポリオキシエチレンノニルフェニルエーテル，赤色2号
	0.05％ヘキザック水W	Hexizac W	吉田製薬		液：外用	0.05％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702X2044	105907601	薬価収載1995.07.07				
	0.05W／V％ヂアミトール水	Germitol Water	日興製薬	丸石製薬	液：外用	0.05％10mL	0.56円／mL	局	殺菌消毒剤	261	ベンザルコニウム塩化物	benzalkonium chloride（JP）	2616700Q5048	105805502					
	0.05W／V％ハイジール水	Hygieel	日興製薬	丸石製薬	液：外用	0.05％10mL	0.51円／mL	後	消毒剤	261	アルキルジアミノエチルグリシン塩酸塩	alkyldiaminoethylglycine hydrochloride（JAN）	2619716Q3048	115412201	薬価収載2003.07.04				pH調整剤
	0.05W／V％マスキン水	Maskin	日興製薬	丸石製薬	液：外用	0.05％10mL	0.57円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q6045	105894901					
	0.025W／V％ヂアミトール水	Germitol Water	日興製薬	丸石製薬	液：外用	0.025％10mL	0.56円／mL	局	殺菌消毒剤	261	ベンザルコニウム塩化物	benzalkonium chloride（JP）	2616700Q4041	105804802					
	5％グルクロ液	Gluchlo	三恵薬品		液：外用	5％10mL	1.07円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q5030	112898701					ポリオキシエチレンノニルフェニルエーテル，赤色2号，香料
	5％グルコン酸クロルヘキシジン液「東海」		東海製薬		液：外用	5％10mL	1.07円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q3119	105883301，105883302，105883303					赤色227号，その他1成分
	5％グルコン酸クロルヘキシジン液「日医工」	Chlorhexidine Gluconate	日医工		液：外用	5％10mL	0.93円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q3224	116544903	薬価収載2012.06.01				ラウロマクロゴール，ラウリルジメチルアミンオキシド液，赤色2号
	5％クロルヘキシジン液「ヤマゼン」	Chlorhexidine“Yamazen”	山善製薬		液：外用	5％10mL	0.93円／mL	後	殺菌消毒剤	261	クロルヘキシジングルコン酸塩	chlorhexidine gluconate（JAN）	2619702Q3100	105882601					ラウロマクロゴール，赤色2号，香料
