院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	MSコンチン錠10mg	MS Contin	塩野義製薬		徐放錠：内服	10mg1錠	241.10円／錠	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004G1027	112052301，112052302，112052303，112052305，112052306		〓902／10 〓902：10	薄黄褐		無水乳糖，ヒドロキシエチルセルロース，セタノール，ステアリルアルコール，ステアリン酸マグネシウム，タルク，ヒプロメロース，マクロゴール400，酸化チタン，黄色三二酸化鉄，三二酸化鉄
	MSコンチン錠30mg	MS Contin	塩野義製薬		徐放錠：内服	30mg1錠	700.50円／錠	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004G2023	112053001，112053002，112053003，112053005，112053006		〓902／30 〓902：30	青紫～赤紫		無水乳糖，ヒドロキシエチルセルロース，セタノール，ステアリルアルコール，ステアリン酸マグネシウム，タルク，ヒプロメロース，マクロゴール400，酸化チタン，赤色3号アルミニウムレーキ，青色1号アルミニウムレーキ
	MSコンチン錠60mg	MS Contin	塩野義製薬		徐放錠：内服	60mg1錠	1,264.70円／錠	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004G3020	112054701，112054702，112054703，112054704，112054705		〓902／60 〓902：60	橙		無水乳糖，ヒドロキシエチルセルロース，セタノール，ステアリルアルコール，ステアリン酸マグネシウム，タルク，ヒプロメロース，マクロゴール400，酸化チタン，黄色5号アルミニウムレーキ
	MSツワイスロンカプセル10mg	MS－Twicelon	帝國製薬	日本化薬	徐放カプセル：内服	10mg1カプセル	241.10円／カプセル	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004N4025	114544101	薬価収載2001.07.06	TF-TL10	黄／無透明		白糖，トウモロコシデンプン，マクロゴール，ヒプロメロース，エチルセルロース，セタノール，タルク，ラウリル硫酸ナトリウム，その他1成分
	MSツワイスロンカプセル30mg	MS－Twicelon	帝國製薬	日本化薬	徐放カプセル：内服	30mg1カプセル	700.50円／カプセル	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004N5021	114545801	薬価収載2001.07.06	TF-TL30	淡紅／無透明		白糖，トウモロコシデンプン，マクロゴール，ヒプロメロース，エチルセルロース，セタノール，タルク，ラウリル硫酸ナトリウム，赤色3号，その他1成分
	MSツワイスロンカプセル60mg	MS－Twicelon	帝國製薬	日本化薬	徐放カプセル：内服	60mg1カプセル	1,264.70円／カプセル	劇麻処	持続性癌疼痛治療剤	811	モルヒネ硫酸塩水和物	morphine sulfate hydrate（JP）	8114004N6028	114546501	薬価収載2001.07.06	TF-TL60	橙／無透明		白糖，トウモロコシデンプン，マクロゴール，ヒプロメロース，エチルセルロース，セタノール，タルク，ラウリル硫酸ナトリウム，黄色5号，その他1成分
	アブストラル舌下錠100μg	Abstral	協和発酵キリン	久光製薬	舌下錠：内服	100μg1錠	581.80円／錠	劇麻処	麻酔用ピペリジン系鎮痛剤，疼痛治療剤	821	フェンタニルクエン酸塩	fentanyl citrate（JP）	8219001F1020	122935601，122935602	薬価収載2013.11.19	KH11	白		D-マンニトール，結晶セルロース，軽質無水ケイ酸，クロスカルメロースナトリウム，ステアリン酸マグネシウム
	アブストラル舌下錠200μg	Abstral	協和発酵キリン	久光製薬	舌下錠：内服	200μg1錠	811.90円／錠	劇麻処	麻酔用ピペリジン系鎮痛剤，疼痛治療剤	821	フェンタニルクエン酸塩	fentanyl citrate（JP）	8219001F2026	122936301，122936302	薬価収載2013.11.19	KH12	まだらをもつ極薄黄		D-マンニトール，結晶セルロース，軽質無水ケイ酸，クロスカルメロースナトリウム，ステアリン酸マグネシウム，黄色三二酸化鉄
	アブストラル舌下錠400μg	Abstral	協和発酵キリン	久光製薬	舌下錠：内服	400μg1錠	1,132.80円／錠	劇麻処	麻酔用ピペリジン系鎮痛剤，疼痛治療剤	821	フェンタニルクエン酸塩	fentanyl citrate（JP）	8219001F3022	122937001，122937002	薬価収載2013.11.19	KH13	まだらをもつ薄帯黄赤		D-マンニトール，結晶セルロース，軽質無水ケイ酸，クロスカルメロースナトリウム，ステアリン酸マグネシウム，三二酸化鉄
	アヘン散	Diluted Opium Powder	武田薬品工業		散：内服	10％1g	263.90円／g	局劇麻処	鎮痛・鎮痙・鎮静剤	811	アヘン	opium	8112001B1048	185008602，185008604，185008605					バレイショデンプン
